2025-07-14 15:39:40.2299|DEBUG|Wildcard detected, all requests with hosts will be allowed. 
2025-07-14 15:39:40.2299|TRACE|All hosts are allowed. 
2025-07-14 15:39:40.4771|TRACE|All hosts are allowed. 
2025-07-14 15:39:57.1233|TRACE|All hosts are allowed. 
2025-07-14 15:39:57.1354|TRACE|All hosts are allowed. 
2025-07-14 15:39:57.2093|TRACE|All hosts are allowed. 
2025-07-14 15:39:57.2093|TRACE|All hosts are allowed. 
2025-07-14 15:39:57.2093|TRACE|All hosts are allowed. 
2025-07-14 15:39:57.2093|TRACE|All hosts are allowed. 
2025-07-14 15:39:57.2260|TRACE|All hosts are allowed. 
2025-07-14 15:39:57.4601|TRACE|All hosts are allowed. 
2025-07-14 15:39:57.4855|TRACE|All hosts are allowed. 
2025-07-14 15:40:38.1166|TRACE|All hosts are allowed. 
